forward1,forward3,forward6,spot
0.6548,0.6443,0.6299,0.6608
0.6557,0.6444,0.6296,0.6610
0.6633,0.6523,0.6370,0.6686
0.6607,0.6498,0.6346,0.6660
0.6596,0.6488,0.6331,0.6647
0.6676,0.6577,0.6422,0.6732
0.6736,0.6623,0.6473,0.6793
0.6781,0.6669,0.6521,0.6839
0.6830,0.6726,0.6584,0.6888
0.6902,0.6796,0.6658,0.6958
0.6993,0.6892,0.6755,0.7049
0.7050,0.6951,0.6816,0.7103
0.7214,0.7126,0.7004,0.7258
0.7013,0.6930,0.6812,0.7058
0.7026,0.6940,0.6830,0.7071
0.7063,0.6980,0.6868,0.7109
0.7090,0.7011,0.6910,0.7135
0.7160,0.7095,0.7010,0.7199
0.7091,0.7023,0.6926,0.7132
0.7126,0.7046,0.6944,0.7168
0.7121,0.7045,0.6949,0.7161
0.7169,0.7099,0.7000,0.7204
0.7135,0.7060,0.6956,0.7169
0.7177,0.7106,0.7011,0.7212
0.7024,0.6946,0.6837,0.7064
0.7010,0.6935,0.6829,0.7046
0.7060,0.6989,0.6885,0.7093
0.6977,0.6911,0.6807,0.7010
0.6973,0.6908,0.6811,0.7008
0.6999,0.6939,0.6850,0.7030
0.7135,0.7076,0.6991,0.7166
0.7109,0.7047,0.6956,0.7140
0.7162,0.7110,0.7026,0.7192
0.7265,0.7219,0.7153,0.7292
0.7318,0.7276,0.7223,0.7341
0.7264,0.7219,0.7168,0.7286
0.7176,0.7140,0.7088,0.7194
0.7204,0.7173,0.7125,0.7223
0.7193,0.7164,0.7110,0.7212
0.7098,0.7056,0.6974,0.7124
0.6973,0.6924,0.6818,0.6996
0.6739,0.6680,0.6586,0.6771
0.6785,0.6726,0.6627,0.6817
0.6912,0.6865,0.6782,0.6940
0.6891,0.6842,0.6753,0.6918
0.7007,0.6961,0.6880,0.7028
0.7003,0.6960,0.6893,0.7022
0.7113,0.7072,0.7002,0.7128
0.7123,0.7084,0.7010,0.7138
0.7189,0.7150,0.7078,0.7208
0.7061,0.7015,0.6936,0.7082
0.7117,0.7076,0.6998,0.7139
0.7104,0.7065,0.6994,0.7124
0.7131,0.7088,0.7016,0.7152
0.7126,0.7076,0.6993,0.7150
0.7087,0.7037,0.6955,0.7110
0.7114,0.7068,0.6996,0.7135
0.7163,0.7118,0.7042,0.7186
0.7192,0.7148,0.7072,0.7218
0.7273,0.7226,0.7153,0.7297
0.7287,0.7242,0.7168,0.7312
0.7381,0.7336,0.7263,0.7407
0.7339,0.7284,0.7205,0.7366
0.7370,0.7316,0.7232,0.7399
0.7408,0.7362,0.7288,0.7432
0.7448,0.7400,0.7322,0.7473
0.7533,0.7486,0.7417,0.7559
0.7682,0.7636,0.7567,0.7710
0.7741,0.7688,0.7619,0.7771
0.7677,0.7618,0.7542,0.7708
0.7839,0.7772,0.7691,0.7872
0.8100,0.8031,0.7943,0.8135
0.8021,0.7952,0.7796,0.8056
0.7947,0.7877,0.7782,0.7984
0.8203,0.8134,0.8038,0.8237
0.7950,0.7882,0.7788,0.7984
0.7932,0.7868,0.7779,0.7964
0.7974,0.7912,0.7828,0.8005
0.8068,0.8007,0.7924,0.8100
0.7999,0.7940,0.7855,0.8031
0.8004,0.7944,0.7861,0.8036
0.7925,0.7862,0.7780,0.7957
0.7990,0.7930,0.7848,0.8020
0.8090,0.8039,0.7947,0.8122
0.8036,0.7976,0.7890,0.8069
0.8027,0.7965,0.7873,0.8061
0.7934,0.7869,0.7778,0.7964
0.7787,0.7719,0.7626,0.7817
0.7797,0.7730,0.7634,0.7828
0.7873,0.7806,0.7710,0.7907
0.7998,0.7930,0.7834,0.8031
0.8139,0.8070,0.7969,0.8174
0.8187,0.8111,0.8005,0.8223
0.8186,0.8110,0.8004,0.8222
0.8308,0.8227,0.8113,0.8347
0.8421,0.8339,0.8227,0.8463
0.8591,0.8515,0.8404,0.8637
0.8745,0.8672,0.8557,0.8781
0.8705,0.8630,0.8507,0.8745
0.8401,0.8327,0.8214,0.8439
0.8482,0.8403,0.8288,0.8520
0.8514,0.8432,0.8316,0.8550
0.8675,0.8592,0.8469,0.8715
0.8574,0.8492,0.8372,0.8614
0.8602,0.8519,0.8396,0.8645
0.8771,0.8688,0.8559,0.8810
0.8863,0.8774,0.8640,0.8906
0.8857,0.8761,0.8623,0.8900
0.8720,0.8625,0.8489,0.8764
0.8086,0.8004,0.7873,0.8134
0.7944,0.7861,0.7744,0.7987
0.8032,0.7945,0.7826,0.8077
0.8006,0.7912,0.7792,0.8053
0.8193,0.8104,0.7986,0.8238
0.8074,0.7985,0.7868,0.8115
0.8028,0.7932,0.7796,0.8078
0.8042,0.7950,0.7817,0.8090
0.7952,0.7864,0.7730,0.7998
0.7906,0.7816,0.7693,0.7956
0.7906,0.7813,0.7694,0.7953
0.7875,0.7786,0.7666,0.7923
0.7588,0.7490,0.7355,0.7637
0.7443,0.7340,0.7197,0.7492
0.7432,0.7325,0.7176,0.7484
0.7475,0.7365,0.7211,0.7528
0.7392,0.7285,0.7133,0.7445
0.7529,0.7419,0.7267,0.7583
0.7521,0.7414,0.7264,0.7575
0.7652,0.7542,0.7395,0.7708
0.7529,0.7419,0.7268,0.7584
0.7426,0.7315,0.7168,0.7482
0.7479,0.7369,0.7221,0.7534
0.7606,0.7492,0.7343,0.7668
0.7618,0.7504,0.7359,0.7677
0.7505,0.7395,0.7249,0.7562
0.7580,0.7473,0.7337,0.7637
0.7607,0.7506,0.7368,0.7665
0.7554,0.7454,0.7318,0.7612
0.7641,0.7533,0.7391,0.7699
0.7695,0.7582,0.7427,0.7753
0.7799,0.7686,0.7529,0.7858
0.7727,0.7611,0.7458,0.7785
0.7715,0.7595,0.7429,0.7775
0.7635,0.7516,0.7358,0.7695
0.7690,0.7564,0.7402,0.7751
0.7748,0.7627,0.7465,0.7809
0.7781,0.7661,0.7506,0.7843
0.7802,0.7679,0.7526,0.7864
0.7685,0.7568,0.7414,0.7751
0.7760,0.7649,0.7494,0.7823
0.7768,0.7656,0.7502,0.7829
0.7804,0.7696,0.7551,0.7866
0.7789,0.7679,0.7538,0.7847
0.7886,0.7784,0.7643,0.7946
0.7794,0.7689,0.7552,0.7854
0.7813,0.7706,0.7572,0.7875
0.7838,0.7732,0.7596,0.7903
0.7645,0.7550,0.7430,0.7695
0.7659,0.7566,0.7447,0.7708
